スポット名,県,tsurispot名,緯度,経度,ソース
(未マッチ),wakayama,海南港,34.1596,135.1556,"https://tsurispot.com/spots/kainan-ko-add3"
(未マッチ),wakayama,新宮港,33.728,135.992,"https://tsurispot.com/spots/shingu-ko-add3"
(未マッチ),kyoto,舞鶴西港,35.4712,135.37,"https://tsurispot.com/spots/maizuru-nishi-port"
(未マッチ),kyoto,蒲入漁港,35.752,135.277,"https://tsurispot.com/spots/kamairi-gyokou"
(未マッチ),kyoto,天橋立文殊堤防,35.5699,135.1926,"https://tsurispot.com/spots/amanohashidate-breakwater"
(未マッチ),kyoto,天橋立,35.5728,135.1912,"https://tsurispot.com/spots/amanohashidate-fishing"
(未マッチ),kyoto,小橋漁港,35.52,135.315,"https://tsurispot.com/spots/obashi-gyoko"
(未マッチ),kyoto,ミヨ崎灯台,35.495,135.36,"https://tsurispot.com/spots/miyosaki-todai"
(未マッチ),kyoto,上佐波賀,35.5087,135.3658,"https://tsurispot.com/spots/kami-sabaka"
(未マッチ),kyoto,平,35.5148,135.3883,"https://tsurispot.com/spots/taira-maizuru"
